household,GParis survey (weighted),CityBehavEx: default,CityBehavEx: calibrated
living alone,13.902485120202337,34.02,13.889999999999999
couple without children,22.84489738583319,14.23,23.169999999999998
couple with children,37.526186412029396,21.17,37.76
single parent,9.2812752823046,6.03,8.75
living with parents,13.42744360184632,12.030000000000001,13.4
living with another family member,1.5253874088846617,5.0,1.55
shared housing,1.492324788899497,7.5200000000000005,1.48
