primary_category,category_text,purpose,cluster_id,semantic_cluster,sleep,eatdrink,selfcare,paidwork,educatn,foodprep,cleanetc,maintain,shopserv,garden,petcare,eldcare,pkidcare,ikidcare,religion,volorgwk,commute,travel,sportex,tvradio,read,compint,goout,leisure,n_allowed_activities
arcade,arcade,LEISURE,0,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
art_gallery,art gallery,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
art_museum,art museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
arts_and_crafts,arts and crafts,OTHER,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
arts_and_entertainment,arts and entertainment,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
asian_art_museum,asian art museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
auditorium,auditorium,LEISURE,0,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
automotive_parts_and_accessories,automotive parts and accessories,OTHER,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
aviation_museum,aviation museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
boat_parts_and_accessories,boat parts and accessories,OTHER,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
casino,casino,LEISURE,0,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
childrens_museum,childrens museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
cinema,cinema,LEISURE,0,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
civilization_museum,civilization museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
community_museum,community museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
computer_museum,computer museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
contemporary_art_museum,contemporary art museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
decorative_arts_museum,decorative arts museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
drive_in_theater,drive in theater,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
event_photography,event photography,OTHER,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
event_planning,event planning,PURCHASE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
history_museum,history museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
modern_art_museum,modern art museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
movie_television_studio,movie television studio,WORK,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
museum,museum,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
music_production,music production,WORK,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
music_venue,music venue,LEISURE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
party_and_event_planning,party and event planning,PURCHASE,1,culture_events,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,4
