primary_category,purpose,category_text,source,gparis_poi_tessellation,local_observed_count,cluster_id,semantic_cluster
music_venue,LEISURE,music venue,citybehavex/category/unique_categories.csv,380,380,1,culture_events
party_and_event_planning,PURCHASE,party and event planning,citybehavex/category/unique_categories.csv,24,24,1,culture_events
performing_arts,LEISURE,performing arts,citybehavex/category/unique_categories.csv,184,184,1,culture_events
photography_museum,LEISURE,photography museum,citybehavex/category/unique_categories.csv,6,6,1,culture_events
science_museum,LEISURE,science museum,citybehavex/category/unique_categories.csv,15,15,1,culture_events
textile_museum,LEISURE,textile museum,citybehavex/category/unique_categories.csv,1,1,1,culture_events
theaters_and_performance_venues,LEISURE,theaters and performance venues,citybehavex/category/unique_categories.csv,5,5,1,culture_events
topic_concert_venue,LEISURE,topic concert venue,citybehavex/category/unique_categories.csv,637,637,1,culture_events
adult_education,STUDIES,adult education,citybehavex/category/unique_categories.csv,279,279,1,education
art_school,STUDIES,art school,citybehavex/category/unique_categories.csv,295,295,1,education
boxing_class,STUDIES,boxing class,citybehavex/category/unique_categories.csv,117,117,0,education
circus_school,STUDIES,circus school,citybehavex/category/unique_categories.csv,1,1,1,education
college_university,STUDIES,college university,citybehavex/category/unique_categories.csv,1679,1679,0,education
cooking_school,STUDIES,cooking school,citybehavex/category/unique_categories.csv,100,100,1,education
cosmetology_school,STUDIES,cosmetology school,citybehavex/category/unique_categories.csv,66,66,1,education
cycling_classes,STUDIES,cycling classes,citybehavex/category/unique_categories.csv,21,21,0,education
dance_school,STUDIES,dance school,citybehavex/category/unique_categories.csv,739,739,1,education
day_care_preschool,STUDIES,day care preschool,citybehavex/category/unique_categories.csv,317,317,1,education
driving_school,STUDIES,driving school,citybehavex/category/unique_categories.csv,1535,1535,1,education
education,STUDIES,education,citybehavex/category/unique_categories.csv,1723,1723,1,education
educational_camp,STUDIES,educational camp,citybehavex/category/unique_categories.csv,7,7,1,education
educational_research_institute,STUDIES,educational research institute,citybehavex/category/unique_categories.csv,69,69,1,education
elementary_school,STUDIES,elementary school,citybehavex/category/unique_categories.csv,1957,1957,1,education
first_aid_class,STUDIES,first aid class,citybehavex/category/unique_categories.csv,12,12,0,education
flight_school,STUDIES,flight school,citybehavex/category/unique_categories.csv,74,74,1,education
high_school,STUDIES,high school,citybehavex/category/unique_categories.csv,775,775,1,education
language_school,STUDIES,language school,citybehavex/category/unique_categories.csv,480,480,1,education
law_schools,STUDIES,law schools,citybehavex/category/unique_categories.csv,6,6,1,education
library,STUDIES,library,citybehavex/category/unique_categories.csv,1222,1222,0,education
middle_school,STUDIES,middle school,citybehavex/category/unique_categories.csv,618,618,1,education
music_school,STUDIES,music school,citybehavex/category/unique_categories.csv,435,435,1,education
preschool,STUDIES,preschool,citybehavex/category/unique_categories.csv,589,589,1,education
private_school,STUDIES,private school,citybehavex/category/unique_categories.csv,426,426,1,education
religious_school,STUDIES,religious school,citybehavex/category/unique_categories.csv,20,20,1,education
school,STUDIES,school,citybehavex/category/unique_categories.csv,1737,1737,1,education
school_sports_league,STUDIES,school sports league,citybehavex/category/unique_categories.csv,3,3,1,education
ski_and_snowboard_school,STUDIES,ski and snowboard school,citybehavex/category/unique_categories.csv,2,2,1,education
specialty_school,STUDIES,specialty school,citybehavex/category/unique_categories.csv,357,357,1,education
traffic_school,STUDIES,traffic school,citybehavex/category/unique_categories.csv,16,16,1,education
tutoring_center,STUDIES,tutoring center,citybehavex/category/unique_categories.csv,187,187,1,education
vocational_and_technical_school,STUDIES,vocational and technical school,citybehavex/category/unique_categories.csv,249,249,1,education
afghan_restaurant,LEISURE,afghan restaurant,citybehavex/category/unique_categories.csv,9,9,1,food_drink
african_restaurant,LEISURE,african restaurant,citybehavex/category/unique_categories.csv,418,418,1,food_drink
amateur_sports_team,LEISURE,amateur sports team,citybehavex/category/unique_categories.csv,278,278,1,food_drink
american_restaurant,LEISURE,american restaurant,citybehavex/category/unique_categories.csv,126,126,1,food_drink
arabian_restaurant,LEISURE,arabian restaurant,citybehavex/category/unique_categories.csv,12,12,1,food_drink
argentine_restaurant,LEISURE,argentine restaurant,citybehavex/category/unique_categories.csv,44,44,1,food_drink
armenian_restaurant,LEISURE,armenian restaurant,citybehavex/category/unique_categories.csv,10,10,1,food_drink
asian_fusion_restaurant,LEISURE,asian fusion restaurant,citybehavex/category/unique_categories.csv,57,57,1,food_drink
asian_restaurant,LEISURE,asian restaurant,citybehavex/category/unique_categories.csv,725,725,1,food_drink
australian_restaurant,LEISURE,australian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
bakery,PURCHASE,bakery,citybehavex/category/unique_categories.csv,4304,4304,0,food_drink
bangladeshi_restaurant,LEISURE,bangladeshi restaurant,citybehavex/category/unique_categories.csv,8,8,1,food_drink
bar,LEISURE,bar,citybehavex/category/unique_categories.csv,2957,2957,1,food_drink
bar_and_grill_restaurant,LEISURE,bar and grill restaurant,citybehavex/category/unique_categories.csv,130,130,1,food_drink
barbecue_restaurant,LEISURE,barbecue restaurant,citybehavex/category/unique_categories.csv,86,86,1,food_drink
barber,PURCHASE,barber,citybehavex/category/unique_categories.csv,525,525,0,food_drink
bartender,LEISURE,bartender,citybehavex/category/unique_categories.csv,9,9,0,food_drink
bartending_school,STUDIES,bartending school,citybehavex/category/unique_categories.csv,7,7,1,food_drink
basque_restaurant,LEISURE,basque restaurant,citybehavex/category/unique_categories.csv,20,20,1,food_drink
beach_bar,LEISURE,beach bar,citybehavex/category/unique_categories.csv,3,3,1,food_drink
beer_bar,LEISURE,beer bar,citybehavex/category/unique_categories.csv,109,109,1,food_drink
belgian_restaurant,LEISURE,belgian restaurant,citybehavex/category/unique_categories.csv,17,17,1,food_drink
bistro,LEISURE,bistro,citybehavex/category/unique_categories.csv,192,192,0,food_drink
brazilian_restaurant,LEISURE,brazilian restaurant,citybehavex/category/unique_categories.csv,51,51,1,food_drink
breakfast_and_brunch_restaurant,LEISURE,breakfast and brunch restaurant,citybehavex/category/unique_categories.csv,107,107,1,food_drink
brewery,LEISURE,brewery,citybehavex/category/unique_categories.csv,216,216,0,food_drink
british_restaurant,LEISURE,british restaurant,citybehavex/category/unique_categories.csv,3,3,1,food_drink
bubble_tea,LEISURE,bubble tea,citybehavex/category/unique_categories.csv,117,117,1,food_drink
buffet_restaurant,LEISURE,buffet restaurant,citybehavex/category/unique_categories.csv,84,84,1,food_drink
bulgarian_restaurant,LEISURE,bulgarian restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
burger_restaurant,LEISURE,burger restaurant,citybehavex/category/unique_categories.csv,804,804,1,food_drink
burmese_restaurant,LEISURE,burmese restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
cafe,LEISURE,cafe,citybehavex/category/unique_categories.csv,2096,2096,1,food_drink
cafeteria,LEISURE,cafeteria,citybehavex/category/unique_categories.csv,37,37,0,food_drink
cambodian_restaurant,LEISURE,cambodian restaurant,citybehavex/category/unique_categories.csv,32,32,1,food_drink
canadian_restaurant,LEISURE,canadian restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
caribbean_restaurant,LEISURE,caribbean restaurant,citybehavex/category/unique_categories.csv,81,81,1,food_drink
champagne_bar,LEISURE,champagne bar,citybehavex/category/unique_categories.csv,3,3,1,food_drink
chicken_restaurant,LEISURE,chicken restaurant,citybehavex/category/unique_categories.csv,214,214,1,food_drink
chilean_restaurant,LEISURE,chilean restaurant,citybehavex/category/unique_categories.csv,1,1,1,food_drink
chinese_restaurant,LEISURE,chinese restaurant,citybehavex/category/unique_categories.csv,674,674,1,food_drink
