aligner,teacher,sample_size,epochs,n_train,n_test,mae,rmse,spearman,kendall_tau,calibration_mae
activity,mistral,1000,6,800,200,0.10914123081415893,0.17664348312910697,0.7756894972088103,0.6370346960845016,0.038171624943613994
activity,mistral,1000,7,800,200,0.11671757665276529,0.17616849102429727,0.766038020995996,0.6238388575629583,0.03285951556265357
activity,mistral,1000,8,800,200,0.10630090612918139,0.16539974168360988,0.7899704807487087,0.6436326153452733,0.046413341470062736
activity,mistral,1000,9,800,200,0.0925791261866689,0.1496036862064882,0.825919959520661,0.68892341705057,0.0360246098563075
activity,mistral,1000,10,800,200,0.09389351657778024,0.14891821375011674,0.8255344237542266,0.6862395176902562,0.035687140330672246
activity,mistral,10000,1,8000,2000,0.083675417316705,0.1321136944172173,0.8547727606842019,0.7230785043671238,0.011830323773622524
activity,mistral,10000,2,8000,2000,0.07378081550858914,0.11974141550028759,0.8698662471853268,0.7409593701466038,0.011771137132123102
activity,mistral,10000,3,8000,2000,0.06966441670116037,0.110229128437307,0.8832161874212143,0.7574581930891253,0.011479795007966484
activity,mistral,10000,4,8000,2000,0.0642676181897521,0.10461013004226496,0.8972443843457675,0.7738311447969751,0.01079161461330952
activity,mistral,10000,5,8000,2000,0.061819525878690176,0.10393813902865791,0.8998296238410627,0.7768100007504606,0.013715886060334748
activity,mistral,10000,6,8000,2000,0.060523416730016474,0.09866885613323517,0.9006355507014341,0.7787540127885202,0.008694412931054819
activity,mistral,10000,7,8000,2000,0.06106463729506358,0.10197306294614919,0.8993460520301071,0.776237100289623,0.012305249524023376
activity,mistral,10000,8,8000,2000,0.06045507996259258,0.1018815315530376,0.9004628480371696,0.7772074079871285,0.014615244120080032
activity,mistral,10000,9,8000,2000,0.059710393642586124,0.10237763785819955,0.8995167268105785,0.7776127407242429,0.01482362189279083
activity,mistral,10000,10,8000,2000,0.059923767720960315,0.1004651975119584,0.898567740466763,0.7748888268186281,0.014551198142574853
poi_type,mistral,100,1,80,20,0.22326310187578202,0.26951125084184213,0.14219330134215222,0.10931461720461357,0.17516011506319046
poi_type,mistral,100,2,80,20,0.13183775559067723,0.1983269943625404,0.5718643640934383,0.45451867153497216,0.09261602476239203
poi_type,mistral,100,3,80,20,0.18528900876641274,0.22026591705386958,0.18392394412734908,0.13232822082663748,0.07770684346556667
poi_type,mistral,100,4,80,20,0.2182947689294815,0.2529306112399133,0.12519192835559054,0.12082141901562551,0.18490316689014435
poi_type,mistral,100,5,80,20,0.19394924879074096,0.22294406350811882,0.23260969404341209,0.18986222988169724,0.1168149995803833
poi_type,mistral,100,6,80,20,0.1764154866337776,0.21915693060132568,0.10509939664419946,0.10931461720461357,0.09563399493694305
poi_type,mistral,100,7,80,20,0.20931045025587083,0.2448110464838821,0.0834612855703937,0.07479421177157769,0.14306163668632504
poi_type,mistral,100,8,80,20,0.21216994762420655,0.242007583706644,0.043276222147611544,0.028767004527529887,0.1495262563228607
poi_type,mistral,100,9,80,20,0.19522384367883203,0.24039543425789525,0.009273476174488189,0.028767004527529887,0.12915015064179897
poi_type,mistral,100,10,80,20,0.20659486815333367,0.242411756377965,0.03863948406036745,0.04027380633854184,0.15002902135252955
