household,GParis survey (weighted),CityBehavEx generation,abs_pct_point_gap
living alone,13.902485120202337,5.753968253968254,8.148516866234083
couple without children,22.84489738583319,21.03174603174603,1.8131513540871573
couple with children,37.526186412029396,30.952380952380953,6.573805459648444
single parent,9.2812752823046,8.928571428571429,0.35270385373317126
living with parents,13.42744360184632,4.9603174603174605,8.46712614152886
living with another family member,1.5253874088846617,10.119047619047619,8.593660210162957
shared housing,1.492324788899497,18.253968253968253,16.761643465068754
